domain,coverage,percentage,medianrank
developer.android.com,17,94.4%,1
stackoverflow.com,11,61.1%,4
github.com,11,61.1%,6
android.googlesource.com,7,38.9%,2
developers.google.com,4,22.2%,3
gist.github.com,2,11.1%,3
cloudinary.com,2,11.1%,5
thedroidsonroids.com,2,11.1%,9.5
chromium.googlesource.com,1,5.6%,1
pubs.opengroup.org,1,5.6%,2
developers.facebook.com,1,5.6%,2
docs.telerik.com,1,5.6%,2
plus.google.com,1,5.6%,2
regexplanet.com,1,5.6%,3
usatoday.com,1,5.6%,4
support.hockeyapp.net,1,5.6%,4
asus.com,1,5.6%,4
notjustburritos.tumblr.com,1,5.6%,4
regex101.com,1,5.6%,4
android-developers.googleblog.com,1,5.6%,5
youtube.com,1,5.6%,5
dcode.fr,1,5.6%,6
community.spotify.com,1,5.6%,6
sqlite.org,1,5.6%,6
businessinsider.com,1,5.6%,6
droid-life.com,1,5.6%,6
play.google.com,1,5.6%,6
freeformatter.com,1,5.6%,6
zdnet.com,1,5.6%,7
android-arsenal.com,1,5.6%,7
elinux.org,1,5.6%,7
help.kustom.rocks,1,5.6%,7
linux.die.net,1,5.6%,7
regextester.com,1,5.6%,7
programmableweb.com,1,5.6%,8
tex.stackexchange.com,1,5.6%,8
satyan.github.io,1,5.6%,8
stacktips.com,1,5.6%,8
googleprojectzero.blogspot.com,1,5.6%,8
jetzt-produktiver.de,1,5.6%,8
medium.freecodecamp.org,1,5.6%,9
wccftech.com,1,5.6%,9
androidauthority.com,1,5.6%,9
docs.openstack.org,1,5.6%,9
docs.djangoproject.com,1,5.6%,9
javased.com,1,5.6%,9
rosettacode.org,1,5.6%,9
guyrutenberg.com,1,5.6%,9
blog.csdn.net,1,5.6%,10
gsmarena.com,1,5.6%,10
androidbegin.com,1,5.6%,10
donnfelker.com,1,5.6%,10
vogella.com,1,5.6%,10
slideshare.net,1,5.6%,10
nytimes.com,1,5.6%,10
forums.geforce.com,1,5.6%,10
techrepublic.com,1,5.6%,10
