api,member,rank,url,domain,
Hadoop,AbstractCounters,1,https://hadoop.apache.org/docs/r2.7.4/api/org/apache/hadoop/mapred/Counters.html,hadoop.apache.org,
Hadoop,AbstractCounters,2,https://stackoverflow.com/questions/44955327/too-many-counter-groups-exception-hadoop,stackoverflow.com,
Hadoop,AbstractCounters,3,https://hadoop.apache.org/docs/r2.6.2/api/org/apache/hadoop/mapreduce/Counters.html,hadoop.apache.org,
Hadoop,AbstractCounters,4,https://issues.apache.org/jira/browse/MAPREDUCE-4102,issues.apache.org,
Hadoop,AbstractCounters,5,https://github.com/apache/hadoop,github.com,
Hadoop,AbstractCounters,6,https://issues.apache.org/jira/browse/MAPREDUCE-6129,issues.apache.org,
Hadoop,AbstractCounters,7,https://mvnrepository.com/artifact/org.apache.hadoop/hadoop-mapreduce-client-core/0.23.1,mvnrepository.com,
Hadoop,AbstractCounters,8,https://issues.apache.org/jira/browse/PIG-3726,issues.apache.org,
Hadoop,AbstractCounters,9,https://fossies.org/linux/misc/hadoop-2.9.0.tar.gz/,fossies.org,
Hadoop,AbstractCounters,10,https://issues.apache.org/jira/browse/MAPREDUCE-4443,issues.apache.org,
Hadoop,AbstractDelegationTokenIdentifier,1,https://hadoop.apache.org/docs/r1.0.4/api/org/apache/hadoop/security/token/delegation/AbstractDelegationTokenSecretManager.html,hadoop.apache.org,
Hadoop,AbstractDelegationTokenIdentifier,2,https://community.hortonworks.com/articles/131282/running-spark-application-on-a-kerberized-hadoop-c.html,community.hortonworks.com,
Hadoop,AbstractDelegationTokenIdentifier,3,https://hadoop.apache.org/docs/r2.6.3/api/org/apache/hadoop/io/Writable.html,hadoop.apache.org,
Hadoop,AbstractDelegationTokenIdentifier,4,https://hive.apache.org/javadocs/r2.1.1/api/org/apache/hive/hcatalog/common/HCatUtil.html,hive.apache.org,
Hadoop,AbstractDelegationTokenIdentifier,5,https://github.com/apache/spark/blob/master/core/src/main/scala/org/apache/spark/deploy/SparkHadoopUtil.scala,github.com,
Hadoop,AbstractDelegationTokenIdentifier,6,https://issues.apache.org/jira/browse/HADOOP-14441,issues.apache.org,
Hadoop,AbstractDelegationTokenIdentifier,7,http://blog.cloudera.com/blog/2017/12/hadoop-delegation-tokens-explained/,blog.cloudera.com,
Hadoop,AbstractDelegationTokenIdentifier,8,https://issues.apache.org/jira/browse/HADOOP-14316,issues.apache.org,
Hadoop,AbstractDelegationTokenIdentifier,9,https://stackoverflow.com/questions/19446407/hadoop-yarn-setup-authentication-issue,stackoverflow.com,
Hadoop,AbstractDelegationTokenIdentifier,10,http://www.java2s.com/Code/Jar/h/Downloadhadoopcommon0210jar.htm,java2s.com,
Hadoop,AbstractDelegationTokenSecretManager,1,https://hadoop.apache.org/docs/r1.0.4/api/org/apache/hadoop/security/token/delegation/AbstractDelegationTokenSecretManager.html,hadoop.apache.org,
