api,member,rank,url,domain
jquery,.add(),1,https://api.jquery.com/add/,api.jquery.com
jquery,.add(),2,https://www.w3schools.com/jquery/traversing_add.asp,w3schools.com
jquery,.add(),3,http://api.jquery.com/append/,api.jquery.com
jquery,.add(),4,https://www.w3schools.com/jquery/jquery_get_started.asp,w3schools.com
jquery,.add(),5,http://api.jquery.com/prepend/,api.jquery.com
jquery,.add(),6,https://www.w3schools.com/jquery/jquery_dom_add.asp,w3schools.com
jquery,.add(),7,http://api.jquery.com/insertafter/,api.jquery.com
jquery,.add(),8,https://jqueryui.com/addClass/,jqueryui.com
jquery,.add(),9,http://api.jquery.com/after/,api.jquery.com
jquery,.add(),10,https://www.tutorialspoint.com/jquery/traversal-add.htm,tutorialspoint.com
jquery,.addBack(),1,http://api.jquery.com/addback/,api.jquery.com
jquery,.addBack(),2,https://www.w3schools.com/jquery/jquery_ref_traversing.asp,w3schools.com
jquery,.addBack(),3,http://www.snoopcode.com/jquery/jquery-addback-method,snoopcode.com
jquery,.addBack(),4,http://js.studio-kingdom.com/jquery/traversing/add_back,js.studio-kingdom.com
jquery,.addBack(),5,https://www.youtube.com/watch?v=ytY2UA7by-Y,youtube.com
jquery,.addBack(),6,https://api.jquery.com/andself/,api.jquery.com
jquery,.addBack(),7,https://codepen.io/SitePoint/pen/RKqvZx,codepen.io
jquery,.addBack(),8,https://stackoverflow.com/questions/17809367/adding-the-addback-function-to-jquery-version-1-7-2,stackoverflow.com
jquery,.addBack(),9,https://phabricator.wikimedia.org/T68520,phabricator.wikimedia.org
jquery,.addBack(),10,https://github.com/jquery-validation/jquery-validation/issues/1997,github.com
jquery,.addClass(),1,https://api.jquery.com/addclass/,api.jquery.com
jquery,.addClass(),2,https://www.w3schools.com/jquery/html_addclass.asp,w3schools.com
jquery,.addClass(),3,https://jqueryui.com/addClass/,jqueryui.com
jquery,.addClass(),4,https://www.w3schools.com/jquery/tryit.asp?filename=tryjquery_dom_addclass,w3schools.com
jquery,.addClass(),5,http://api.jqueryui.com/addclass/,api.jqueryui.com
jquery,.addClass(),6,http://api.jquery.com/toggleclass/,api.jquery.com
jquery,.addClass(),7,https://stackoverflow.com/questions/11009820/addclass-can-add-multiple-classes-on-same-div,stackoverflow.com
jquery,.addClass(),8,https://www.freecodecamp.org/challenges/target-elements-by-id-using-jquery,freecodecamp.org
jquery,.addClass(),9,https://stackoverflow.com/questions/18877544/jquery-addclass-to-selected-div-remove-class-if-another-div-is-selected,stackoverflow.com
jquery,.addClass(),10,https://github.com/Rafase282/My-FreeCodeCamp-Code/wiki/jQuery,github.com
jquery,.after(),1,http://api.jquery.com/after/,api.jquery.com
jquery,.after(),2,https://www.w3schools.com/jquery/html_after.asp,w3schools.com
jquery,.after(),3,http://api.jquery.com/insertafter/,api.jquery.com
jquery,.after(),4,https://www.w3schools.com/jquery/tryit.asp?filename=tryjquery_html_after2,w3schools.com
jquery,.after(),5,https://api.jquery.com/nextAll/,api.jquery.com
jquery,.after(),6,https://stackoverflow.com/questions/14846506/append-prepend-after-and-before,stackoverflow.com
jquery,.after(),7,https://api.jquery.com/ready/,api.jquery.com
jquery,.after(),8,https://www.codementor.io/olatundeowokoniran/javascript-tutorial-understanding-append-prepend-after-and-before-qmgkumkyn,codementor.io
jquery,.after(),9,https://api.jquery.com/slice/,api.jquery.com
jquery,.after(),10,https://learn.jquery.com/using-jquery-core/manipulating-elements/,learn.jquery.com
jquery,.ajaxComplete(),1,http://api.jquery.com/ajaxcomplete/,api.jquery.com
jquery,.ajaxComplete(),2,https://www.w3schools.com/jquery/ajax_ajaxcomplete.asp,w3schools.com
jquery,.ajaxComplete(),3,https://api.jquery.com/category/ajax/global-ajax-event-handlers/,api.jquery.com
jquery,.ajaxComplete(),4,https://doc.bccnsoft.com/docs/jqapi/docs/ajaxComplete/index.html,doc.bccnsoft.com
jquery,.ajaxComplete(),5,https://stackoverflow.com/questions/4419241/jqueryajaxstop-versus-jqueryajaxcomplete,stackoverflow.com
jquery,.ajaxComplete(),6,http://www.tutorialspark.com/jqueryReference/jQuery_ajaxComplete_Method.php,tutorialspark.com
jquery,.ajaxComplete(),7,https://stackoverflow.com/questions/19267072/jquery-both-ready-and-ajaxcomplete/19267134,stackoverflow.com
jquery,.ajaxComplete(),8,https://www.tutorialspoint.com/jquery/ajaxcomplete.htm,tutorialspoint.com
