domain,coverage,percentage,medianrank
laravel.com,44,83.0%,1
github.com,35,66.0%,2
stackoverflow.com,33,62.3%,4
laracasts.com,31,58.5%,4
laravel-news.com,16,30.2%,3
medium.com,15,28.3%,4
laravel-china.org,7,13.2%,5
gist.github.com,5,9.4%,2
packagist.org,5,9.4%,4
youtube.com,5,9.4%,5
scotch.io,5,9.4%,6
hackernoon.com,5,9.4%,6
divinglaravel.com,4,7.5%,2.5
sitepoint.com,4,7.5%,7.5
lumen.laravel.com,3,5.7%,3
segmentfault.com,3,5.7%,4
laravel.io,3,5.7%,6
mattstauffer.com,3,5.7%,10
vegibit.com,2,3.8%,3.5
code.tutsplus.com,2,3.8%,5
php.net,2,3.8%,5.5
laraveldaily.com,2,3.8%,6
symfony.com,2,3.8%,6
appdividend.com,2,3.8%,6.5
murze.be,2,3.8%,7
dba.stackexchange.com,2,3.8%,7.5
cloudways.com,2,3.8%,8
itsolutionstuff.com,2,3.8%,8.5
carbon.nesbot.com,1,1.9%,1
sqlshack.com,1,1.9%,2
codeburst.io,1,1.9%,2
auth0.com,1,1.9%,2
qiita.com,1,1.9%,2
nathanmac.com,1,1.9%,2
twitter.com,1,1.9%,2
johannespichler.com,1,1.9%,2
tutorials.kode-blog.com,1,1.9%,2
ma.ttias.be,1,1.9%,3
evolutility.org,1,1.9%,3
selftaughtcoders.com,1,1.9%,4
supermarket.chef.io,1,1.9%,4
bluxte.net,1,1.9%,4
confluence.atlassian.com,1,1.9%,4
alanstorm.com,1,1.9%,4
medoo.in,1,1.9%,5
w3schools.com,1,1.9%,5
npmjs.com,1,1.9%,5
ysk-override.com,1,1.9%,5
laravelpanel.com,1,1.9%,5
grafxflow.co.uk,1,1.9%,5
thibaud.dauce.fr,1,1.9%,5
emka.web.id,1,1.9%,5
w3programmers.com,1,1.9%,6
tighten.co,1,1.9%,6
danwalker.com,1,1.9%,6
dotdeb.org,1,1.9%,7
crestapps.com,1,1.9%,7
ofcss.com,1,1.9%,7
markshust.com,1,1.9%,7
codecasts.com,1,1.9%,7
cloud.google.com,1,1.9%,7
techotopia.com,1,1.9%,7
bugs.mysql.com,1,1.9%,8
tutorialspoint.com,1,1.9%,8
technologyshouters.com,1,1.9%,8
askubuntu.com,1,1.9%,8
about.gitlab.com,1,1.9%,8
redis.io,1,1.9%,8
community.auth0.com,1,1.9%,8
sqlitetutorial.net,1,1.9%,8
packalyst.com,1,1.9%,9
webniraj.com,1,1.9%,9
vuejsdevelopers.com,1,1.9%,9
dev.mysql.com,1,1.9%,9
datatables.yajrabox.com,1,1.9%,9
developers.google.com,1,1.9%,9
troyweb.com,1,1.9%,9
marabesi.com,1,1.9%,9
startlaravel.com,1,1.9%,9
developer.com,1,1.9%,9
bradcypert.com,1,1.9%,9
mitchmckenna.com,1,1.9%,9
docs.moodle.org,1,1.9%,9
m.dotdev.co,1,1.9%,10
readouble.com,1,1.9%,10
teratail.com,1,1.9%,10
digitalocean.com,1,1.9%,10
oliverdavies.uk,1,1.9%,10
laravel-guide.readthedocs.io,1,1.9%,10
blog.katty.in,1,1.9%,10
metricloop.com,1,1.9%,10
linkedin.com,1,1.9%,10
devpark.pl,1,1.9%,10
