domain,coverage,percentage,medianrank
doc.qt.io,1609,100.0%,1
stackoverflow.com,1114,69.2%,4
archlinux.org,523,32.5%,5
github.com,515,32.0%,6
pyqt.sourceforge.net,440,27.3%,6
doc-snapshots.qt.io,435,27.0%,4
wiki.qt.io,395,24.5%,5
qt-project.org,308,19.1%,4
forum.qt.io,303,18.8%,7
code.woboq.org,218,13.5%,6
bugreports.qt.io,217,13.5%,6
blog.csdn.net,205,12.7%,8
youtube.com,191,11.9%,6
qt.developpez.com,180,11.2%,8
blog.qt.io,162,10.1%,6
informit.com,140,8.7%,6
java2s.com,125,7.8%,7
ics.com,120,7.5%,7
lists.qt-project.org,117,7.3%,7
srinikom.github.io,110,6.8%,7
kdab.com,98,6.1%,4
bogotobogo.com,79,4.9%,5
slideshare.net,74,4.6%,7
qt.apidoc.info,74,4.6%,8
het.as.utexas.edu,67,4.2%,8
developer.blackberry.com,65,4.0%,6
qtcentre.org,63,3.9%,6
freehackers.org,63,3.9%,8
packages.debian.org,63,3.9%,8
sourceforge.net,62,3.9%,9
linux.die.net,56,3.5%,7
cep.xray.aps.anl.gov,44,2.7%,8
habrahabr.ru,42,2.6%,8
freshports.org,42,2.6%,9
qiita.com,38,2.4%,7
conf.qtcon.org,34,2.1%,6
forum.manjaro.org,32,2.0%,6
gist.github.com,31,1.9%,9
techbase.kde.org,30,1.9%,7
evileg.com,27,1.7%,8
doc.bccnsoft.com,26,1.6%,9
hackage.haskell.org,25,1.6%,8
codereview.qt-project.org,25,1.6%,8
woboq.com,24,1.5%,4.5
pyside.github.io,24,1.5%,7
code.qt.io,24,1.5%,7.5
reviews.freebsd.org,24,1.5%,10
qtocube.co.kr,21,1.3%,8
cdn2.hubspot.net,19,1.2%,4
devdays.kdab.com,19,1.2%,6
indico.cern.ch,18,1.1%,6
packages.ubuntu.com,18,1.1%,9
wiki.python.org,18,1.1%,9
bugs.launchpad.net,14,0.9%,7.5
ervin.ipsquad.net,14,0.9%,8
codeproject.com,12,0.7%,6.5
qtdeveloperdays.com,12,0.7%,7
qtforum.org,11,0.7%,7
api.kde.org,11,0.7%,8
bugs.freebsd.org,11,0.7%,9
forums.gentoo.org,10,0.6%,5.5
math.spbu.ru,10,0.6%,7
codereview.stackexchange.com,10,0.6%,9
ru.stackoverflow.com,10,0.6%,9
developers.arcgis.com,10,0.6%,9
askubuntu.com,10,0.6%,9.5
dangelog.wordpress.com,9,0.6%,2
trentreed.net,9,0.6%,4
planet.qt.io,9,0.6%,6
ibm.com,9,0.6%,7
account.qt.io,9,0.6%,7
falsinsoft.blogspot.com,9,0.6%,7
opennet.ru,9,0.6%,8
digitalfanatics.org,9,0.6%,8
raw.githubusercontent.com,9,0.6%,8
community.kde.org,9,0.6%,8
qt-quarterly.developpez.com,9,0.6%,9
richelbilderbeek.nl,8,0.5%,5
blog.manash.me,8,0.5%,6
amin-ahmadi.com,8,0.5%,6.5
quizful.net,8,0.5%,7
medium.com,8,0.5%,7
planet.kde.org,8,0.5%,9
tutorialspoint.com,8,0.5%,10
omg-it.works,7,0.4%,4
abi-laboratory.pro,7,0.4%,6
marcmutz.wordpress.com,7,0.4%,6
musescore.org,7,0.4%,7
meetingcpp.com,7,0.4%,7
heise.de,7,0.4%,8
aur.archlinux.org,7,0.4%,8
doc.crossplatform.ru,7,0.4%,9
blackberry.github.io,6,0.4%,2
vicrucann.github.io,6,0.4%,4
link.springer.com,6,0.4%,5
codebind.com,6,0.4%,5.5
qcustomplot.com,6,0.4%,7
blogs.kde.org,6,0.4%,7.5
gihyo.jp,6,0.4%,8
programmingexamples.wikidot.com,6,0.4%,8.5
ftp,6,0.4%,9.5
3gfp.com,5,0.3%,4
ncbi.nlm.nih.gov,5,0.3%,4
download.qt.io,5,0.3%,6
blog.bbv.ch,5,0.3%,6
radekp.github.io,5,0.3%,6
cnblogs.com,5,0.3%,8
cdn-shop.adafruit.com,5,0.3%,8
kuqin.com,5,0.3%,8
en.wikipedia.org,5,0.3%,8
phoronix.com,5,0.3%,8
trinitydesktop.org,5,0.3%,8
npmjs.com,5,0.3%,8
klayout.de,5,0.3%,9
linux.org.ru,5,0.3%,10
zetcode.com,5,0.3%,10
accessibility.kde.org,4,0.2%,3
software.intel.com,4,0.2%,3.5
thesmithfam.org,4,0.2%,4.5
asmaloney.com,4,0.2%,4.5
linkedin.com,4,0.2%,5.5
mail.python.org,4,0.2%,6
sharkpp.net,4,0.2%,6.5
together.jolla.com,4,0.2%,7
flylib.com,4,0.2%,7
en.wikibooks.org,4,0.2%,7.5
