api,member,rank,url,domain
Qt,AssignmentInfo,1,http://doc.qt.io/qt-5/qtscxml-module.html,doc.qt.io
Qt,AssignmentInfo,2,https://doc-snapshots.qt.io/qt5-5.9/newclasses58.html,doc-snapshots.qt.io
Qt,AssignmentInfo,3,http://doc.qt.io/qt-5/classes.html,doc.qt.io
Qt,AssignmentInfo,4,https://assignment.uspto.gov/,assignment.uspto.gov
Qt,AssignmentInfo,5,http://doc.qt.io/qt-5/hierarchy.html,doc.qt.io
Qt,AssignmentInfo,6,http://www.iclcv.org/modules/qt.html,iclcv.org
Qt,AssignmentInfo,7,https://www.developpez.net/forums/d1566375/autres-langages/autres-langages/vhdl/echange-donnees-hps-fpga-via-dma/,developpez.net
Qt,AssignmentInfo,8,https://courses.ideate.cmu.edu/18-090/f2017/,courses.ideate.cmu.edu
Qt,AssignmentInfo,9,http://blog.csdn.net/lichwei1983/article/details/44658533,blog.csdn.net
Qt,AssignmentInfo,10,https://courses.ideate.cmu.edu/18-090/f2017/2017/10/30/project-1-tanushree-mediratta/,courses.ideate.cmu.edu
Qt,AssimpImporter,1,https://doc.qt.io/qt-5/qt3drender-assimpimporter.html,doc.qt.io
Qt,AssimpImporter,2,https://www.ics.com/blog/qt-and-opengl-loading-3d-model-open-asset-import-library-assimp,ics.com
Qt,AssimpImporter,3,https://forum.qt.io/topic/86070/qt3d-assimpimporter-not-found,forum.qt.io
Qt,AssimpImporter,4,http://www.lighthouse3d.com/cg-topics/code-samples/importing-3d-models-with-assimp/,lighthouse3d.com
Qt,AssimpImporter,5,https://github.com/assimp/assimp/blob/master/code/Assimp.cpp,github.com
Qt,AssimpImporter,6,https://sourceforge.net/p/assimp/mailman/assimp-discussions/?page=1,sourceforge.net
Qt,AssimpImporter,7,http://assimp.org/lib_html/install.html,assimp.org
Qt,AssimpImporter,8,http://www.mbsoftworks.sk/index.php?page=tutorials&series=1&tutorial=23,mbsoftworks.sk
Qt,AssimpImporter,9,https://stackoverflow.com/questions/33949999/conversion-from-const-aiscene-to-aiscene-assimp,stackoverflow.com
Qt,AssimpImporter,10,http://www.nexcius.net/2014/04/13/loading-meshes-using-assimp-in-opengl/,nexcius.net
Qt,EvaluatorInfo,1,https://doc.qt.io/qt-5/qscxmltabledata.html,doc.qt.io
Qt,EvaluatorInfo,2,http://www.allaboutux.org/kansei-engineering-software,allaboutux.org
Qt,EvaluatorInfo,3,http://doc.qt.io/qt-5/qtscxml-module.html,doc.qt.io
Qt,EvaluatorInfo,4,http://blog.csdn.net/zhoubl668/article/details/13297695,blog.csdn.net
Qt,EvaluatorInfo,5,https://doc.qt.io/qt-5.10/newclasses58.html,doc.qt.io
Qt,EvaluatorInfo,6,https://www.pinterest.com/palmoiltv/photography-competition/,pinterest.com
Qt,EvaluatorInfo,7,http://doc.qt.io/qt-5/hierarchy.html,doc.qt.io
Qt,ForeachInfo,1,https://doc.qt.io/qt-5/qscxmltabledata.html,doc.qt.io
Qt,ForeachInfo,2,http://blog.csdn.net/a379039233/article/details/49451997,blog.csdn.net
Qt,ForeachInfo,3,http://doc.qt.io/qt-5/qtscxml-module.html,doc.qt.io
Qt,ForeachInfo,4,https://stackoverflow.com/questions/8797134/base64-email-attachments-are-not-uploading,stackoverflow.com
Qt,ForeachInfo,5,https://doc.qt.io/qt-5.10/newclasses58.html,doc.qt.io
Qt,ForeachInfo,6,https://www.bbsmax.com/A/kjdwDbAzNp/,bbsmax.com
Qt,ForeachInfo,7,http://doc.qt.io/qt-5/hierarchy.html,doc.qt.io
