domain,coverage,percentage,medianrank
doc.qt.io,33,91.7%,1
archlinux.org,25,69.4%,2
blog.qt.io,9,25.0%,4
kdab.com,5,13.9%,2
qt.developpez.com,5,13.9%,7
opennet.ru,5,13.9%,7
ervin.ipsquad.net,3,8.3%,4
wiki.qt.io,3,8.3%,4
tcuvelier.wordpress.com,3,8.3%,6
doc-snapshots.qt.io,2,5.6%,3.5
code.woboq.org,2,5.6%,4
pyqt.sourceforge.net,2,5.6%,6
stackoverflow.com,2,5.6%,7
download.qt.io,1,2.8%,2
software.intel.com,1,2.8%,2
vicrucann.github.io,1,2.8%,4
evileg.com,1,2.8%,5
github.com,1,2.8%,6
kdab.developpez.com,1,2.8%,6
blog.csdn.net,1,2.8%,7
planet.kde.org,1,2.8%,7
slideshare.net,1,2.8%,8
bugreports.qt.io,1,2.8%,8
phytec.fr,1,2.8%,9
doocr.com,1,2.8%,9
forum.qt.io,1,2.8%,10
freshports.org,1,2.8%,10
linux.org.ru,1,2.8%,10
