domain,coverage,percentage,medianrank
api.symfony.com,108,95.6%,2
github.com,80,70.8%,1
symfony.com,52,46.0%,1
stackoverflow.com,40,35.4%,4
php.net,14,12.4%,3
packagist.org,10,8.8%,6
sitepoint.com,9,8.0%,7
codereview.stackexchange.com,5,4.4%,2
symfony.es,5,4.4%,5
slideshare.net,4,3.5%,6.5
ezecosystem.org,4,3.5%,8
laracasts.com,4,3.5%,9
silex.symfony.com,3,2.7%,4
twig.symfony.com,3,2.7%,6
beberlei.de,3,2.7%,7
ekino.com,2,1.8%,3
knpuniversity.com,2,1.8%,4.5
tech.trivago.com,2,1.8%,5.5
digitalocean.com,2,1.8%,6
sonata-project.org,2,1.8%,8
api.drupal.org,2,1.8%,8
alanstorm.com,2,1.8%,9
docs.doctrine-project.org,2,1.8%,10
damow.net,1,0.9%,1
webtipblog.com,1,0.9%,2
nux.net,1,0.9%,2
docs.pylonsproject.org,1,0.9%,2
ca.linkedin.com,1,0.9%,2
docs.aws.amazon.com,1,0.9%,2
mmoreram.com,1,0.9%,2
adaptcms.com,1,0.9%,3
webcreator.ua,1,0.9%,3
symfony-project.org,1,0.9%,3
medium.com,1,0.9%,3
gonzalo123.com,1,0.9%,4
webfactory.de,1,0.9%,4
codeception.com,1,0.9%,4
codereviewvideos.com,1,0.9%,4
reecefowell.com,1,0.9%,5
docs.civicrm.org,1,0.9%,5
aaronscherer.me,1,0.9%,5
blog.theodo.fr,1,0.9%,5
cloudways.com,1,0.9%,5
qiita.com,1,0.9%,5
componette.com,1,0.9%,5
validator.w3.org,1,0.9%,5
codementor.io,1,0.9%,6
dzone.com,1,0.9%,6
techracho.bpsinc.jp,1,0.9%,6
docs.sentry.io,1,0.9%,6
wufoo.com,1,0.9%,6
plugins.jetbrains.com,1,0.9%,6
habrahabr.ru,1,0.9%,6
laravel.com,1,0.9%,6
w3schools.com,1,0.9%,7
gnugat.github.io,1,0.9%,7
redis.io,1,0.9%,7
confluence.atlassian.com,1,0.9%,7
cloud.google.com,1,0.9%,7
pecl.php.net,1,0.9%,7
labs.octivi.com,1,0.9%,8
serverfault.com,1,0.9%,8
bangpound.org,1,0.9%,8
flowframework.readthedocs.io,1,0.9%,8
richardmiller.co.uk,1,0.9%,8
prestashop.com,1,0.9%,8
twilio.com,1,0.9%,8
propelorm.org,1,0.9%,8
scotch.io,1,0.9%,9
docs.phpdoc.org,1,0.9%,9
msdn.microsoft.com,1,0.9%,9
kannokanno.hatenablog.com,1,0.9%,9
michaelstivala.com,1,0.9%,9
jetbrains.com,1,0.9%,9
auth0.com,1,0.9%,9
drupal.org,1,0.9%,9
wellnet.it,1,0.9%,9
matthiasnoback.nl,1,0.9%,10
why-cant-we-have-nice-things.mwl.be,1,0.9%,10
robo.li,1,0.9%,10
code.tutsplus.com,1,0.9%,10
drupalize.me,1,0.9%,10
diego.com.es,1,0.9%,10
